framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,33759232,62,,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,33910784,16,192,330
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,33775616,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,33746944,106,,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,33779712,24,192,220
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,33861632,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,33771520,162,,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,33779712,40,192,165
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,33837056,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,33808384,289,,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,33738752,71,192,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,33841152,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,,,,44163072,534,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,33988608,129,192,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,34091008,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,,,,66068480,985,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,62058496,256,192,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,33624064,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,setup,,,,132976640,1892,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,116420608,456,192,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,33792000,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,setup,,,,269107200,3735,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,191795200,798,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,58007552,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,setup,,,,523726848,7356,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,370384896,1473,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,112439296,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,setup,,,,1046196224,14644,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,550752256,3018,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,221491200,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,setup,,,,2077790208,29174,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,1056845824,5804,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,439681024,1,,2640
