framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,setup,,,,56201216,968,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,prove,,,,47669248,144,192,55
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,verify,,,,33800192,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,setup,,,,96063488,1696,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,prove,,,,70578176,270,192,20
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,verify,,,,33816576,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,setup,,,,160329728,2951,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,prove,,,,123879424,477,192,20
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,verify,,,,37629952,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,setup,,,,247341056,4544,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,prove,,,,151474176,483,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,verify,,,,52768768,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,setup,,,,458940416,8614,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,prove,,,,283410432,910,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,verify,,,,96833536,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,,,,883146752,16792,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,,,,536268800,1650,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,verify,,,,185049088,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,,,,1731891200,33173,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,,,,730836992,3198,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,verify,,,,361783296,2,,1870
