framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,65271048,179751,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,64681224,178618,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,68220168,177520,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,69268744,177938,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,68678920,180333,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,64353544,178667,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,64550152,177906,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,69793032,178464,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,64681224,176413,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,69530888,179514,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,133382424,494095,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,126239000,493787,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,125583640,492065,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,129384728,493791,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,129384728,492704,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,128860440,493271,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,120275224,492734,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,134562072,492698,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,124535064,497621,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,128074008,491480,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,68482312,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,69006600,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,63960328,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,73463048,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,69268744,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,64746760,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,69268744,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,69727496,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,73397512,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,72611080,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,166169896,49301,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,161189160,48172,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,155795736,54359,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,161713448,48039,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,165645608,48126,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,160075048,49119,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,155599128,53292,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,147341592,52477,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,164859176,48166,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,165580072,53653,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,160927016,817,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,169053480,857,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,164269352,807,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,155599128,810,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,160599336,1059,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,156385560,770,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,169577768,802,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,160402728,784,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,161189160,1054,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,169315624,1069,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,101695768,351973,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,101171480,341709,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,101171480,344978,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,105955608,349194,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,100909336,344449,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,100909336,349563,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,101695768,345804,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,109101336,356290,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,95666456,346647,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,96715032,353366,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,212143400,961519,0,1,
