framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54916360,94058,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,58848520,93056,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,53867784,91614,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54392072,89518,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,55178504,90765,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,58324232,92046,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54654216,91280,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54916360,90716,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,58848520,91186,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54654216,91432,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,415002968,575584,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,423129432,524997,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,415002968,581311,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,415527256,501589,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,427848024,565163,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,414216536,467334,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,415265112,509072,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,413692248,468359,0,1,
