framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17665697,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,47209326,34483,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,17744340,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,47628756,3579,384,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,47471470,1067,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,18622523,3046,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,51036628,57886,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,witness,2049,1,2,18648737,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,2049,1,2,51718203,4945,384,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,2049,1,2,51469166,836,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,compile,4097,1,2,18622523,4268,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,4097,1,2,51403630,91595,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,witness,4097,1,2,18596308,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,4097,1,2,53186209,7576,384,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,4097,1,2,53579425,800,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_13.json,compile,8193,1,2,23485294,7351,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,8193,1,2,57799944,157720,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_13.json,witness,8193,1,2,23249364,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,8193,1,2,66948769,12401,384,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,8193,1,2,67289556,839,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_14.json,compile,16385,1,2,26709665,13718,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,16385,1,2,69701281,291777,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_14.json,witness,16385,1,2,26971809,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,16385,1,2,99775563,24211,384,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,16385,1,2,99749348,899,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_15.json,compile,32769,1,2,30117537,24889,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,32769,1,2,95555044,560977,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_15.json,witness,32769,1,2,31664187,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,32769,1,2,143448753,43234,384,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,32769,1,2,145231332,877,0,1,
