framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,66902894,178512,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,128028132,493424,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,69393262,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,160396886,50470,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,162731915,882,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,101499160,348397,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,210675393,963153,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,101892376,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,prove,90235,64,33,289311139,94256,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,verify,90235,64,33,290956092,853,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_7.json,compile,133851,128,33,144346596,527289,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_7.json,setup,133851,128,33,349329531,1567510,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_7.json,witness,133851,128,33,146083300,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_7.json,prove,133851,128,33,502541684,175545,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_7.json,verify,133851,128,33,505032052,843,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_8.json,compile,221083,256,33,202296616,862929,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_8.json,setup,221083,256,33,431232769,2159155,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_8.json,witness,221083,256,33,205979739,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_8.json,prove,221083,256,33,661182972,204541,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_8.json,verify,221083,256,33,658646729,888,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_9.json,compile,395547,512,33,327334011,1529821,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_9.json,setup,395547,512,33,805520531,3951358,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_9.json,witness,395547,512,33,329496699,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_9.json,prove,395547,512,33,1146731012,363469,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_9.json,verify,395547,512,33,1157187899,797,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,compile,744475,1024,33,569747217,2912995,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,setup,744475,1024,33,1419225278,7578736,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,witness,744475,1024,33,570136952,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,prove,744475,1024,33,1915130038,613730,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,verify,744475,1024,33,1894858931,812,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,compile,1442331,2048,33,1080616849,5721562,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,setup,1442331,2048,33,2741750475,14796529,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,witness,1442331,2048,33,1080616849,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,prove,1442331,2048,33,3246963184,1140169,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,verify,1442331,2048,33,3347078971,800,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,68757563,177509,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,148318078,864612,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,67826952,1048,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,206481089,68158,576,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,206782555,1485,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,100679960,346243,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,254174724,1655545,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,97891403,1048,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,prove,90235,64,33,395276632,137099,576,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_6.json,verify,90235,64,33,394978443,1349,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,compile,133851,128,33,145034724,520755,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,setup,133851,128,33,398487896,2669039,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,witness,133851,128,33,143658468,1048,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,prove,133851,128,33,659943012,250122,576,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_7.json,verify,133851,128,33,657858968,1402,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,compile,221083,256,33,204144731,868696,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,setup,221083,256,33,517195440,3673689,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,witness,221083,256,33,200920360,1048,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,prove,221083,256,33,847551736,274046,576,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_8.json,verify,221083,256,33,846446836,1310,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,compile,395547,512,33,333310894,1530939,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,setup,395547,512,33,918178673,6697626,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,witness,395547,512,33,329260769,1048,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,prove,395547,512,33,1467366896,466234,576,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_9.json,verify,395547,512,33,1461650921,1297,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,compile,744475,1024,33,570636972,2910794,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,744475,1024,33,1690988272,12775731,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,witness,744475,1024,33,571398724,1048,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,744475,1024,33,2485327168,830757,576,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_10.json,verify,744475,1024,33,2475556462,1319,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,compile,1442331,2048,33,1090090696,5698789,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,1442331,2048,33,3261816824,24916432,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,witness,1442331,2048,33,1081108369,1048,0,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,1442331,2048,33,4257316468,1557782,576,1,
gnark,circuit,groth16,bls12_381,sha256,input/circuit/sha256/input_11.json,verify,1442331,2048,33,4247320281,1311,0,1,
