framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17691912,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,52006561,16805,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,46947182,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,53893998,12967,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,53658068,1790,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,17881966,1370,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,55558612,27258,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,witness,2049,1,1,47006164,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,2049,1,1,66450696,20695,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,2049,1,1,65854318,1763,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,compile,4097,1,1,18596308,3805,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,4097,1,1,67224020,52122,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,witness,4097,1,1,47032379,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,4097,1,1,82395604,33840,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,4097,1,1,81347028,1781,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_13.json,compile,8193,1,1,19068168,6043,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,8193,1,1,91181846,95965,0,1,
