framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,55860078,91567,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,418620555,517398,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,103891224,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,626047982,390279,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,630642056,1893,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,94388504,180822,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,810786846,947481,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,174951720,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1217375664,756486,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1224278552,1941,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,compile,235676,128,32,113144907,279332,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,setup,235676,128,32,810328094,875813,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,witness,235676,128,32,170115163,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,prove,235676,128,32,1278719118,771500,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,verify,235676,128,32,1279924980,1978,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,compile,390540,256,32,178254734,469453,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,setup,390540,256,32,1580459214,1766404,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,witness,390540,256,32,303896081,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,prove,390540,256,32,2407358153,1465641,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,verify,390540,256,32,2405462216,1975,0,1,
