framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,33423360,91,,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,33406976,115,992,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,33386496,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,33296384,156,,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,33230848,166,992,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,33280000,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,33099776,285,,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,33316864,281,992,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,33255424,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,40341504,527,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,51994624,461,992,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,33206272,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,,,,76341248,1023,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,99422208,846,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,33255424,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,,,,151609344,1992,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,195014656,1564,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,33177600,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,setup,,,,293236736,3942,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,385998848,2920,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,33312768,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,setup,,,,599879680,7855,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,779923456,5667,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,45846528,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,setup,,,,1207693312,15735,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,1527873536,11115,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,88502272,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,setup,,,,2389868544,31957,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,2980171776,23059,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,173465600,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,setup,,,,4660043776,64224,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,5924421632,45316,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,343334912,4,,1155
