framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_5.json,setup,,,,1378177024,6616,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_5.json,prove,,,,1615142912,5631,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_5.json,verify,,,,64602112,5,,880
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_6.json,setup,,,,1377607680,6593,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_6.json,prove,,,,1615052800,5623,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_6.json,verify,,,,64610304,5,,880
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_7.json,setup,,,,1369223168,6598,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_7.json,prove,,,,1615130624,5626,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_7.json,verify,,,,64544768,5,,880
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_8.json,setup,,,,1363218432,6602,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_8.json,prove,,,,1615101952,5665,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_8.json,verify,,,,64307200,5,,880
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_9.json,setup,,,,1378209792,6623,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_9.json,prove,,,,1614966784,5665,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_9.json,verify,,,,64581632,5,,880
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_10.json,setup,,,,1363255296,6630,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_10.json,prove,,,,1615093760,5790,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_10.json,verify,,,,64491520,5,,880
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_11.json,setup,,,,2903912448,13421,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_11.json,prove,,,,3245563904,11347,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_11.json,verify,,,,124448768,5,,880
