framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,,,,407281664,1,,38885
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,325038080,42,74236,165
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,31911936,3,,1485
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,witness,,,,32743424,1,,31130
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,32481280,98,103504,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,31780864,3,,1265
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,witness,,,,32505856,1,,19250
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,32591872,47,114384,110
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,31862784,4,,1100
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,witness,,,,32497664,1,,10010
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,32440320,98,125392,110
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,31977472,5,,990
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,witness,,,,32514048,1,,4675
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,32751616,217,136656,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,32083968,6,,770
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,witness,,,,32583680,1,,3080
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,34873344,163,168612,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,31768576,7,,715
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,witness,,,,32436224,3,,1595
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,63139840,258,182180,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,32034816,8,,660
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,witness,,,,32546816,6,,825
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,124719104,375,195876,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,32116736,9,,550
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,witness,,,,32620544,13,,440
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,269271040,791,209828,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,31916032,10,,495
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,witness,,,,32460800,26,,220
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,524038144,1705,244472,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,31985664,11,,440
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,witness,,,,32616448,77,,110
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,1012670464,3427,260728,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,31973376,12,,440
