framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,32288768,221,,30
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,32043008,47,192,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,32010240,2,,2090
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,32083968,428,,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,32018432,80,192,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,32235520,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,32083968,805,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,32124928,143,192,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,32202752,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,32419840,1579,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,32133120,258,192,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,32002048,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,,,,42659840,3103,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,32133120,401,192,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,32260096,2,,2090
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,,,,75182080,6118,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,45441024,754,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,32043008,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,setup,,,,142057472,12147,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,84914176,1434,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,32063488,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,setup,,,,277639168,24250,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,158019584,2505,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,57991168,2,,2090
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,setup,,,,544911360,48377,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,303779840,4932,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,112545792,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,setup,,,,1076948992,96653,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,594522112,9769,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,221483008,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,setup,,,,2076303360,193391,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,1023107072,19152,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,439705600,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_21.json,setup,,,,4139646976,386508,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_21.json,prove,,,,1950609408,33439,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_21.json,verify,,,,875802624,2,,2145
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_22.json,setup,,,,8266485760,772895,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_22.json,prove,,,,3872182272,66581,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_22.json,verify,,,,1748123648,2,,2145
