framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,,,,906612736,90762,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,,,,429035520,5606,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,verify,,,,184930304,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,,,,1767313408,178889,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,,,,793513984,10267,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,verify,,,,361639936,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_12.json,setup,,,,3421331456,355322,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_12.json,prove,,,,1525374976,20449,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_12.json,verify,,,,714477568,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_13.json,setup,,,,6798266368,707987,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_13.json,prove,,,,3024711680,37493,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_13.json,verify,,,,1420496896,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_14.json,setup,,,,13548261376,1414581,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_14.json,prove,,,,5548879872,70014,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_14.json,verify,,,,2832564224,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,setup,,,,61280256,5326,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,prove,,,,32833536,495,192,20
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,verify,,,,31977472,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,setup,,,,103510016,9619,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,prove,,,,53768192,780,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,verify,,,,32186368,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,setup,,,,163049472,16653,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,prove,,,,95223808,1478,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,verify,,,,37556224,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,setup,,,,260476928,24640,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,prove,,,,121212928,1519,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,verify,,,,52776960,3,,1540
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,setup,,,,476725248,46646,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,prove,,,,225329152,2873,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,verify,,,,96751616,3,,1540
