framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10.json,compile,10,0,2,14184448,110,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10.json,witness,10,0,2,46235648,40,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10.json,setup,10,0,2,185348096,2480,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10.json,prove,10,0,2,164401152,780,803,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10.json,verify,10,0,2,156438528,690,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100.json,compile,100,0,2,14233600,50,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100.json,witness,100,0,2,46190592,40,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100.json,setup,100,0,2,186810368,2110,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100.json,prove,100,0,2,163328000,760,803,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100.json,verify,100,0,2,156459008,780,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,compile,1000,0,2,14364672,80,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,witness,1000,0,2,46440448,40,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,setup,1000,0,2,189722624,2900,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,prove,1000,0,2,204943360,770,804,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,verify,1000,0,2,155762688,690,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,compile,10000,0,2,33173504,330,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,witness,10000,0,2,50475008,50,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,setup,10000,0,2,294772736,10990,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,prove,10000,0,2,466829312,1160,806,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,verify,10000,0,2,156340224,760,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,compile,100000,0,2,258015232,3110,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,witness,100000,0,2,58015744,90,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,setup,100000,0,2,1203032064,30210,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,prove,100000,0,2,1052528640,3660,808,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,verify,100000,0,2,156450816,740,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,compile,1000000,0,2,2561368064,32860,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,witness,1000000,0,2,129781760,500,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,setup,1000000,0,2,7418638336,248790,,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,1000000,0,2,5963722752,27490,804,1
circom/snarkjs,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,verify,1000000,0,2,155848704,730,,1
