framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,compile,522393,1056,0,3053924352,35490,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,witness,522393,1056,0,219119616,1350,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,setup,522393,1056,0,2692472832,246710,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,prove,522393,1056,0,2926256128,17120,707,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,prove,522393,1056,0,588832768,1750,707,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,verify,522393,1056,0,160268288,790,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,compile,522393,1056,0,3052445696,34540,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,witness,522393,1056,0,54349824,60,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,verify,522393,1056,0,64925696,280,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,compile,522393,1056,0,3054194688,34260,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,witness,522393,1056,0,54431744,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,verify,522393,1056,0,64872448,320,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,compile,522393,1056,0,3052474368,34340,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,witness,522393,1056,0,55934976,60,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,verify,522393,1056,0,64880640,260,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,compile,522393,1056,0,3052781568,34420,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,witness,522393,1056,0,56111104,60,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,verify,522393,1056,0,64880640,250,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_15.json,compile,522393,1056,0,3052138496,34550,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_15.json,witness,522393,1056,0,56807424,60,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_15.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_15.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_15.json,verify,522393,1056,0,64995328,300,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_5.json,compile,522393,1056,0,3052855296,34700,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_5.json,witness,522393,1056,0,55005184,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_5.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_5.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_5.json,verify,522393,1056,0,65032192,260,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_6.json,compile,522393,1056,0,3052797952,34440,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_6.json,witness,522393,1056,0,54693888,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_6.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_6.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_6.json,verify,522393,1056,0,64983040,300,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_7.json,compile,522393,1056,0,3053387776,34510,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_7.json,witness,522393,1056,0,54292480,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_7.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_7.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_7.json,verify,522393,1056,0,64860160,230,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_8.json,compile,522393,1056,0,3052920832,34490,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_8.json,witness,522393,1056,0,54190080,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_8.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_8.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_8.json,verify,522393,1056,0,64876544,310,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_9.json,compile,522393,1056,0,3052273664,34610,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_9.json,witness,522393,1056,0,54493184,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_9.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_9.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_9.json,verify,522393,1056,0,64831488,320,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,compile,522393,1056,0,3053518848,34360,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,witness,522393,1056,0,218030080,1350,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,setup,522393,1056,0,2687598592,244420,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,prove,522393,1056,0,2986037248,17490,704,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,prove,522393,1056,0,588886016,1750,704,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_10.json,verify,522393,1056,0,161955840,800,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,compile,522393,1056,0,3052568576,34350,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,witness,522393,1056,0,54288384,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_11.json,verify,522393,1056,0,64909312,290,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,compile,522393,1056,0,3053002752,34240,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,witness,522393,1056,0,54558720,50,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_12.json,verify,522393,1056,0,65159168,280,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,compile,522393,1056,0,3052490752,34530,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,witness,522393,1056,0,55906304,60,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,prove,522393,1056,0,,,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_13.json,verify,522393,1056,0,65019904,270,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,compile,522393,1056,0,3054698496,34930,,1
circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,witness,522393,1056,0,56127488,60,,1

circom/snarkjs,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,prove,522393,1056,0,,,,1
circom/rapidsnark,circuit,groth16,bn128,sha256,input/circuit/sha256/bytes/input_14.json,prove,522393,1056,0,,,,1
