framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1418,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1427,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1377,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1401,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1372,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1348,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1288,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1336,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1385,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,19117320,1303,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25015560,130940,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25015560,131976,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25277704,131050,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25015560,131911,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,24753416,130780,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25015560,131069,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25015560,131160,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25277704,130909,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25277704,131312,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,25015560,131227,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,19117320,1048,0,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,29209864,9461,344,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,29472008,9797,344,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,29472008,8961,344,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,29209864,11275,344,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,29472008,10021,344,1
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,25343240,9393,344,1
