framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,4009,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1080,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1048,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1048,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1213,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1090,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1079,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1062,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1171,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1209,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1163,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1094,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1100,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1048,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1088,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1254,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1097,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1154,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1138,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,19117320,1097,0,1
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,29472008,41627,0,1
