framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,setup,744475,1024,33,2158443256,50080,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,compile,744475,1024,33,796119480,4376,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,witness,744475,1024,33,632024456,1,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,prove,744475,1024,33,2005740248,1857,384,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,verify,744475,1024,33,1612831352,0,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,setup,1442331,2048,33,4187542760,97876,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,compile,1442331,2048,33,1493735000,8552,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,witness,1442331,2048,33,1115298312,1,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,prove,1442331,2048,33,3550253112,3661,384,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,verify,1442331,2048,33,3349916680,0,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,setup,2838043,4096,33,9514040024,193459,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,compile,2838043,4096,33,2734570616,17180,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,witness,2838043,4096,33,2133445624,1,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,prove,2838043,4096,33,7570814184,7313,384,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,verify,2838043,4096,33,6692313112,0,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,setup,5629467,8192,33,14108581784,384977,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,compile,5629467,8192,33,5654885512,34111,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,witness,5629467,8192,33,4219789928,3,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,prove,5629467,8192,33,12936273496,14748,384,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,verify,5629467,8192,33,10634264648,1,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_14.json,setup,11212315,16384,33,29641589720,770336,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_14.json,compile,11212315,16384,33,10449352200,69409,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_14.json,witness,11212315,16384,33,8084678584,6,0,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_14.json,prove,11212315,16384,33,25220909928,30054,384,10
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_14.json,verify,11212315,16384,33,21807842360,0,0,10
