framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10.json,setup,,,,31322112,29,,220
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10.json,prove,,,,31354880,13,192,385
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10.json,verify,,,,31338496,5,,880
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,setup,,,,31326208,40,,165
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,prove,,,,31326208,14,192,385
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,verify,,,,31305728,5,,880
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,setup,,,,31342592,142,,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,prove,,,,31322112,21,192,275
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,verify,,,,31285248,5,,880
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,setup,,,,31322112,776,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,prove,,,,31440896,133,192,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,verify,,,,31453184,5,,880
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,setup,,,,197787648,5680,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,prove,,,,119152640,810,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,verify,,,,37097472,5,,880
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,setup,,,,1850630144,49837,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,,,,757170176,6411,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,verify,,,,319856640,5,,880
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,setup,,,,19252101120,598555,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,prove,,,,8940253184,102862,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,verify,,,,3827359744,5,,880
