framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,,,,890486784,43429,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,,,,514691072,3534,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,verify,,,,184377344,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,,,,1730699264,85920,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,,,,798044160,6813,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,verify,,,,361172992,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_12.json,setup,,,,3419271168,170721,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_12.json,prove,,,,1569345536,14056,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_12.json,verify,,,,714022912,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_13.json,setup,,,,6796115968,340431,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_13.json,prove,,,,3059073024,27993,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_13.json,verify,,,,1419931648,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_14.json,setup,,,,13559058432,680069,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_14.json,prove,,,,5873242112,55121,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_14.json,verify,,,,2831986688,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_15.json,setup,,,,27067011072,1359109,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_15.json,prove,,,,11629838336,114246,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_15.json,verify,,,,5655957504,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,setup,,,,60669952,2422,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,prove,,,,42131456,271,192,20
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,verify,,,,31236096,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,setup,,,,94912512,4294,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,prove,,,,65101824,454,192,20
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,verify,,,,31391744,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,setup,,,,159236096,7464,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,prove,,,,113942528,838,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,verify,,,,36950016,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,setup,,,,254259200,11730,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,prove,,,,142028800,897,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,verify,,,,52011008,8,,605
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,setup,,,,466436096,22326,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,prove,,,,264466432,1781,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,verify,,,,96206848,8,,605
