framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,15758600,2273,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,14906632,1345,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,14906632,1319,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,16020744,2744,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,14906632,1284,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,14906632,1304,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,16020744,2693,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,14906632,1322,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,16020744,2826,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,14906632,1165,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,28931336,104075,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,33125640,103933,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,33191176,104018,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,33125640,102525,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,33125640,103219,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,33125640,102556,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,28996872,104363,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,32863496,102724,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,32863496,102815,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,33387784,102627,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,16020744,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,14906632,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,16020744,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,33453320,9441,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,37844232,9292,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,38106376,8835,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,37582088,9365,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,37582088,9134,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,33649928,9303,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,33387784,8931,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,37844232,9343,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,37844232,8548,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,2,38368520,9620,344,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,37319944,3444,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,37582088,3649,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,38106376,3442,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,33387784,3850,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,34174216,3627,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,37844232,3461,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,38630664,3779,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,33387784,3447,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,32863496,3663,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,2,38106376,3815,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,15758600,3754,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,16020744,3771,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,16020744,3734,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,16020744,3843,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,15758600,3723,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,16282888,3831,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,16282888,3928,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,16020744,3721,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,16020744,3729,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,2,15758600,3722,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,33125640,200379,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,37057800,203981,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,37319944,208313,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,33125640,200934,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,32863496,200678,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,32863496,200782,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,33125640,200316,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,33125640,200549,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,32601352,200635,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,2,37582088,201671,0,1,
