framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,setup,744475,1024,33,1943363272,24333,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,compile,744475,1024,33,838111672,5501,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,witness,744475,1024,33,595225992,1,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,prove,744475,1024,33,2078270168,1526,384,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_10.json,verify,744475,1024,33,1784197784,3,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,setup,1442331,2048,33,4569967944,47419,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,compile,1442331,2048,33,1420347976,10666,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,witness,1442331,2048,33,1070435832,1,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,prove,1442331,2048,33,3711199320,2965,384,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_11.json,verify,1442331,2048,33,3313704952,3,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,setup,2838043,4096,33,8370128296,93586,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,compile,2838043,4096,33,2761561240,20948,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,witness,2838043,4096,33,2094369784,2,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,prove,2838043,4096,33,6852371496,5858,384,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_12.json,verify,2838043,4096,33,6136156024,3,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,setup,5629467,8192,33,17519365736,185936,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,compile,5629467,8192,33,6122994920,41905,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,witness,5629467,8192,33,4390058632,5,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,prove,5629467,8192,33,15954551000,11841,384,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_13.json,verify,5629467,8192,33,13058115128,3,0,10,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_14.json,setup,11212315,16384,33,27068611816,370361,0,10,
