framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10.json,setup,11,1,1,23688456,12,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10.json,compile,11,1,1,21329160,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10.json,witness,11,1,1,14644488,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10.json,prove,11,1,1,29717768,13,39808,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100.json,setup,101,1,1,29979912,82,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100.json,compile,101,1,1,22377736,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100.json,witness,101,1,1,14644488,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100.json,prove,101,1,1,34960648,86,61960,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,setup,1001,1,1,51934472,596,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,compile,1001,1,1,21329160,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,witness,1001,1,1,14644488,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,prove,1001,1,1,52458760,616,86128,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,setup,10001,1,1,391115096,9244,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,compile,10001,1,1,23426312,10,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,witness,10001,1,1,20804872,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,prove,10001,1,1,338355528,9414,136848,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,setup,100001,1,1,3122179528,73773,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,compile,100001,1,1,56784136,119,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,witness,100001,1,1,47281416,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,prove,100001,1,1,2556775752,75609,173784,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,setup,1000001,1,1,24297285032,592482,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,compile,1000001,1,1,462896488,1292,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,witness,1000001,1,1,293643592,1,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,1000001,1,1,21082726072,607687,212736,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10000000.json,compile,10000001,1,1,3487911992,12561,0,10,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate/input_10000000.json,witness,10000001,1,1,2846939032,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10.json,setup,11,1,1,28407048,12,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10.json,compile,11,1,1,21329160,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10.json,witness,11,1,1,14644488,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10.json,prove,11,1,1,29455624,13,39808,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,setup,101,1,1,30766344,82,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,compile,101,1,1,16872712,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,witness,101,1,1,14644488,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100.json,prove,101,1,1,33912072,86,61960,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,setup,1001,1,1,51672328,596,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,compile,1001,1,1,21591304,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,witness,1001,1,1,14644488,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000.json,prove,1001,1,1,48002312,615,86128,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,setup,10001,1,1,390852952,9263,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,compile,10001,1,1,22639880,10,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,witness,10001,1,1,20542728,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10000.json,prove,10001,1,1,343074120,9423,136848,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,setup,100001,1,1,3057754552,73798,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,compile,100001,1,1,56718600,113,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,witness,100001,1,1,47019272,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_100000.json,prove,100001,1,1,2685360472,75708,173784,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,setup,1000001,1,1,24460285416,593253,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,compile,1000001,1,1,437206376,1271,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,witness,1000001,1,1,339977544,1,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,1000001,1,1,21096229576,607983,212736,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,compile,10000001,1,1,3512553528,12541,0,10,
gnark,circuit,plonk,bls12_381,exponentiate,input/circuit/exponentiate/input_10000000.json,witness,10000001,1,1,2937256904,1,0,10,
