framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,setup,1319724,1024,32,49863871288,1187271,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,compile,1319724,1024,32,842357176,2819,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,witness,1319724,1024,32,553781624,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,prove,1319724,1024,32,40959670056,1217712,226168,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,setup,2558636,2048,32,97974689680,2374916,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,compile,2558636,2048,32,1693230728,5442,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,witness,2558636,2048,32,1089816072,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,prove,2558636,2048,32,80611478432,2439463,239824,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,compile,5036460,4096,32,2699280248,10630,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,witness,5036460,4096,32,2121568008,2,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,prove,5036460,4096,32,136022379872,4902779,253704,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_13.json,compile,9992108,8192,32,5793259320,21261,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_13.json,witness,9992108,8192,32,4405632776,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_14.json,compile,19903404,16384,32,11492660472,42476,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_14.json,witness,19903404,16384,32,8280022472,10,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_15.json,compile,39725996,32768,32,26771115112,84172,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_15.json,witness,39725996,32768,32,16836270744,20,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,3047989688,73898,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,70612232,154,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,52262152,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,2591051080,74877,173784,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,6067327976,147960,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,115441944,321,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,96502040,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,5068054264,151346,186544,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,setup,235676,128,32,5563924344,147811,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,compile,235676,128,32,124682520,484,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,witness,235676,128,32,96370968,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,prove,235676,128,32,5316775736,151685,186544,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,setup,390540,256,32,12038736392,296432,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,compile,390540,256,32,234428728,802,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,witness,390540,256,32,184061224,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,prove,390540,256,32,10253502840,303366,199528,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,setup,700268,512,32,23684495640,591461,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,compile,700268,512,32,452279656,1466,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,witness,700268,512,32,332440904,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,prove,700268,512,32,20175925736,608642,212736,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,1319724,1024,32,47326854376,1188165,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,compile,1319724,1024,32,864380360,2788,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,witness,1319724,1024,32,531237240,1,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,1319724,1024,32,40121030248,1217507,226168,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,2558636,2048,32,96826437200,2379294,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,compile,2558636,2048,32,1685890696,5459,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_11.json,witness,2558636,2048,32,1092961800,1,0,10,
