framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,14906632,1396,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,15496456,2669,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,15496456,2592,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,14906632,1412,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,14906632,1410,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,14906632,1236,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,15496456,2592,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,15758600,2639,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,14906632,1233,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,14906632,1385,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38630664,33084,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38106376,32242,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,42366216,33673,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38368520,36309,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38434056,32697,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38106376,36497,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38630664,34590,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38368520,39087,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,38106376,30867,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,37844232,29937,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32339208,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32863496,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32863496,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32863496,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32601352,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32601352,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,33125640,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32666888,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32404744,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,32601352,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,38434056,31217,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,38892808,29760,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,38958344,29842,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,43414792,30476,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,38892808,29727,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,42038536,34122,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,38892808,30125,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,38892808,31444,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,39154952,30267,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,39154952,31825,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,38630664,5795,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,38892808,5859,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,38630664,5914,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,38368520,5790,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,38892808,5898,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,38171912,5876,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,43087112,5907,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,43349256,6026,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,42366216,5827,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,38106376,5907,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,15496456,3517,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,16020744,3640,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,16282888,3572,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,16020744,3715,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,15758600,3487,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,16020744,3617,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,15496456,3547,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,16020744,3579,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,15758600,3493,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,compile,2049,1,1,16020744,3709,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46298376,53667,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46494984,52461,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46232840,52109,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46560520,54089,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46232840,53949,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46232840,57250,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46298376,52153,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,47084808,51459,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46494984,52491,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,2049,1,1,46298376,51327,0,1,
