framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time(ms),proofSize,count,ramReal
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,setup,1319724,1024,32,10670467736,15282,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,compile,1319724,1024,32,799889848,2857,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,witness,1319724,1024,32,1158254120,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,prove,1319724,1024,32,15459650280,17114,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_10.json,verify,1319724,1024,32,9783315912,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,setup,2558636,2048,32,27507362264,30391,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,compile,2558636,2048,32,1416656456,5522,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,witness,2558636,2048,32,2221871896,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,prove,2558636,2048,32,30255738952,32560,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_11.json,verify,2558636,2048,32,18919843336,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,setup,5036460,4096,32,45968173688,60870,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,compile,5036460,4096,32,3201510408,10831,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,witness,5036460,4096,32,4370273528,2,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,prove,5036460,4096,32,60923664376,64213,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_12.json,verify,5036460,4096,32,41238809128,6,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_13.json,setup,9992108,8192,32,93992017864,122632,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_13.json,compile,9992108,8192,32,5581467656,21267,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_13.json,witness,9992108,8192,32,8893565800,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_13.json,prove,9992108,8192,32,105677625928,128636,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_13.json,verify,9992108,8192,32,75827997528,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_14.json,compile,19903404,16384,32,12317003160,42969,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_14.json,witness,19903404,16384,32,14833147864,10,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_15.json,compile,39725996,32768,32,26766658664,85865,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_15.json,witness,39725996,32768,32,34598418152,19,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,745270696,1364,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,70874376,159,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,89817368,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,1112615416,1280,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,736619944,6,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,1502704216,2670,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,114655512,325,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,171281704,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,2105728744,2458,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1481994840,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,setup,235676,128,32,1477669464,2689,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,compile,235676,128,32,120029464,471,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,witness,235676,128,32,171674920,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,prove,235676,128,32,2351305496,2466,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_7.json,verify,235676,128,32,1474523736,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,setup,390540,256,32,2774948728,5479,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,compile,390540,256,32,237836600,812,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,witness,390540,256,32,311010632,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,prove,390540,256,32,4188821704,4673,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_8.json,verify,390540,256,32,2790549384,5,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,setup,700268,512,32,5863410248,7713,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,compile,700268,512,32,447561064,1508,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,witness,700268,512,32,542627208,1,0,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,prove,700268,512,32,9135484232,8641,880,10,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_9.json,verify,700268,512,32,5318846920,5,0,10,
gnark,circuit,plonk,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,1319724,1024,32,11913221048,21497,0,10,
