framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10.json,setup,,,,30609408,28,,220
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10.json,prove,,,,30806016,66,992,110
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10.json,verify,,,,30699520,1,,3245
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_100.json,setup,,,,30912512,26,,220
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_100.json,prove,,,,30638080,55,992,110
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_100.json,verify,,,,30871552,1,,3245
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,setup,,,,30699520,84,,110
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,prove,,,,30707712,152,992,55
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_1000.json,verify,,,,30687232,1,,3245
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,setup,,,,39063552,995,,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,prove,,,,51048448,1178,992,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10000.json,verify,,,,30826496,1,,3245
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,setup,,,,292085760,7590,,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,prove,,,,385040384,9334,992,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_100000.json,verify,,,,30834688,1,,3245
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,setup,,,,2400034816,60572,,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,prove,,,,2974916608,82544,992,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_1000000.json,verify,,,,172716032,1,,3245
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10000000.json,setup,,,,36614885376,968235,,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10000000.json,prove,,,,47332622336,983440,992,10
halo2_pse,circuit,halo2,bn254,exponentiate,input/circuit/exponentiate/input_10000000.json,verify,,,,2720624640,1,,3245
