framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_10.json,setup,,,,1364037632,14003,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_10.json,prove,,,,1614282752,13739,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_10.json,verify,,,,63901696,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_11.json,setup,,,,2869768192,27942,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_11.json,prove,,,,3240091648,26728,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_11.json,verify,,,,123736064,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_12.json,setup,,,,5586907136,55328,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_12.json,prove,,,,6479224832,52218,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_12.json,verify,,,,243023872,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_13.json,setup,,,,10929446912,112470,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_13.json,prove,,,,12706443264,104984,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_13.json,verify,,,,482197504,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_14.json,setup,,,,21704900608,227151,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_14.json,prove,,,,25386520576,208848,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_14.json,verify,,,,960536576,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_15.json,setup,,,,43080011776,460420,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_15.json,prove,,,,50711441408,420508,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_15.json,verify,,,,1917218816,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_5.json,setup,,,,1368399872,13847,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_5.json,prove,,,,1614434304,13363,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_5.json,verify,,,,63889408,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_6.json,setup,,,,1363881984,13923,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_6.json,prove,,,,1614479360,13384,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_6.json,verify,,,,63885312,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_7.json,setup,,,,1370574848,13900,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_7.json,prove,,,,1614389248,13501,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_7.json,verify,,,,63815680,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_8.json,setup,,,,1380818944,13952,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_8.json,prove,,,,1614401536,13631,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_8.json,verify,,,,63868928,3,,1540
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_9.json,setup,,,,1374347264,13951,,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_9.json,prove,,,,1614315520,13672,2816,10
halo2_pse,circuit,halo2,bn254,sha256,input/circuit/sha256/input_9.json,verify,,,,63897600,3,,1540
