framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,,,,422490112,1,,27225
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,358285312,123,74236,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,witness,,,,29646848,1,,16775
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,29880320,193,103504,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,witness,,,,29884416,1,,8470
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,29868032,71,114384,110
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,witness,,,,29863936,1,,4345
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,29626368,179,125392,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,witness,,,,29872128,2,,2420
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,29913088,281,136656,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,witness,,,,29880320,3,,1375
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,35381248,322,168612,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,witness,,,,29843456,6,,770
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,65466368,413,182180,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,witness,,,,29917184,13,,385
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,129810432,645,195876,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,witness,,,,29863936,24,,220
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,257228800,1395,209828,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,witness,,,,29863936,43,,165
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,524410880,2725,244472,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,witness,,,,29851648,100,,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,957272064,5546,260728,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_21.json,witness,,,,29917184,194,,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_21.json,prove,,,,1579126784,11703,277112,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_22.json,witness,,,,29863936,397,,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_22.json,prove,,,,3047247872,24591,293752,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_23.json,witness,,,,29601792,795,,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_23.json,prove,,,,6059991040,50927,331084,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_24.json,witness,,,,29818880,1578,,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_24.json,prove,,,,12116611072,106708,350028,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_25.json,witness,,,,29585408,3178,,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_25.json,prove,,,,24230354944,227618,369100,10
