framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,33677312,70,,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,33677312,17,192,330
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,33685504,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,33722368,126,,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,33697792,26,192,220
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,33734656,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,33673216,213,,30
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,33595392,44,192,165
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,33554432,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,33636352,393,,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,33628160,78,192,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,33660928,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,33677312,70,,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,33677312,17,192,330
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,33685504,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,33722368,126,,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,33697792,27,192,220
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,33734656,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,33673216,213,,30
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,33595392,44,192,165
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,33554432,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,33636352,392,,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,33628160,79,192,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,33660928,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,,,,40751104,752,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,33660928,133,192,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,33509376,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,,,,69869568,1420,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,57290752,263,192,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,33574912,1,,2640
