framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_10.json,compile,522393,1056,0,3123765248,26680,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_10.json,witness,522393,1056,0,217636864,1090,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_10.json,setup,522393,1056,0,4420734976,75780,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_10.json,prove,522393,1056,0,6195060736,9060,708,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_10.json,prove,522393,1056,0,877248512,780,708,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_10.json,verify,522393,1056,0,415612928,680,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_11.json,compile,1015833,2080,0,5978337280,53430,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_11.json,witness,1015833,2080,0,369455104,2060,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_11.json,setup,1015833,2080,0,7307554816,144820,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_11.json,prove,1015833,2080,0,8692936704,18270,707,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_11.json,prove,1015833,2080,0,1206505472,1270,707,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_11.json,verify,1015833,2080,0,415363072,720,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_12.json,compile,2002713,4128,0,11882115072,109060,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_12.json,witness,2002713,4128,0,680550400,4030,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_12.json,setup,2002713,4128,0,11854426112,295790,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_12.json,prove,2002713,4128,0,16069951488,34320,704,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_12.json,prove,2002713,4128,0,2255482880,2240,704,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_12.json,verify,2002713,4128,0,415748096,780,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_13.json,compile,3976473,8224,0,23516606464,225120,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_13.json,witness,3976473,8224,0,1286758400,8000,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_13.json,setup,3976473,8224,0,22760714240,663140,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_13.json,prove,3976473,8224,0,26125647872,67320,707,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_13.json,prove,3976473,8224,0,4478029824,4230,707,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_13.json,verify,3976473,8224,0,415100928,680,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_14.json,compile,7923993,16416,0,46836965376,473570,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_14.json,witness,7923993,16416,0,2496380928,15690,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_14.json,setup,7923993,16416,0,45015818240,1700840,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_14.json,prove,7923993,16416,0,53288955904,134200,710,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_14.json,prove,7923993,16416,0,8922570752,8240,710,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_14.json,verify,7923993,16416,0,414482432,720,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_5.json,compile,29636,64,0,260689920,2150,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_5.json,witness,29636,64,0,65335296,100,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_5.json,setup,29636,64,0,728137728,22190,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_5.json,prove,29636,64,0,1425440768,1270,709,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_5.json,prove,29636,64,0,89739264,90,709,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_5.json,verify,29636,64,0,415342592,670,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_6.json,compile,59793,96,0,434941952,3560,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_6.json,witness,59793,96,0,71098368,160,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_6.json,setup,59793,96,0,1226174464,29240,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_6.json,prove,59793,96,0,1764040704,1760,706,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_6.json,prove,59793,96,0,175050752,170,706,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_6.json,verify,59793,96,0,415604736,730,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_7.json,compile,90633,160,0,652419072,5090,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_7.json,witness,90633,160,0,80793600,220,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_7.json,setup,90633,160,0,1490374656,30020,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_7.json,prove,90633,160,0,2091106304,2320,707,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_7.json,prove,90633,160,0,338354176,320,707,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_7.json,verify,90633,160,0,415330304,710,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_8.json,compile,152313,288,0,918368256,7970,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_8.json,witness,152313,288,0,99037184,340,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_8.json,setup,152313,288,0,2098728960,34650,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_8.json,prove,152313,288,0,2658107392,3610,704,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_8.json,prove,152313,288,0,655736832,540,704,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_8.json,verify,152313,288,0,415965184,710,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_9.json,compile,275673,544,0,1626329088,14280,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_9.json,witness,275673,544,0,139231232,590,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_9.json,setup,275673,544,0,3100487680,46340,,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_9.json,prove,275673,544,0,4957925376,6360,710,1
circom/rapidsnark,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_9.json,prove,275673,544,0,747393024,710,710,1
circom/snarkjs,circuit,groth16,bn254,sha256,input/circuit/sha256/bytes/input_9.json,verify,275673,544,0,416194560,670,,1
