framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_5.json,compile,151910,32,33,266426680,1001423,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_5.json,setup,151910,32,33,526420344,13904490,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_5.json,witness,151910,32,33,248863032,1048,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_5.json,prove,151910,32,33,530811256,312148,408,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_5.json,verify,151910,32,33,552175992,1801,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,545745272,2567121,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,558852472,2538314,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,567503224,2557253,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,558852472,2522910,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,571697528,2544980,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,532638072,2529937,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,538077560,2545277,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,549153144,2535522,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,554068344,2540191,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,compile,468730,1024,33,581465480,2576682,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1287056936,38440106,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1256454712,38814499,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1304161832,38830821,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1220210216,38910162,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1219948072,39271615,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1308552744,38728335,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1312222760,38165524,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1339816504,38548135,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1278602792,39035745,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,setup,468730,1024,33,1329524264,38458310,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,558066040,1506,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,562784632,1472,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,581727624,1445,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,553871736,1526,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,533621112,1568,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,541550968,1481,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,541747576,1491,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,537880952,1523,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,550201720,1584,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,witness,468730,1024,33,550660472,1478,0,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,prove,468730,1024,33,1533284952,1088377,408,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,prove,468730,1024,33,1426523720,1113358,408,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,prove,468730,1024,33,1422591560,1085186,408,1,
gnark,circuit,groth16,bn254,sha2,input/circuit/sha2/input_10.json,prove,468730,1024,33,1386084920,1137473,408,1,
