framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,631993736,1775185,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,676102552,1797462,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,644052360,1754784,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,712019368,1813640,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,622753160,1786799,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,627275144,1777671,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,712805800,1798357,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,661818792,1819460,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,598570376,1770825,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,compile,1667786,1024,32,623277448,1786610,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,setup,1667786,1024,32,9315525992,8638994,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,setup,1667786,1024,32,9287276888,8596900,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,setup,1667786,1024,32,9291995480,8498257,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,setup,1667786,1024,32,9304906072,8593505,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,setup,1667786,1024,32,9311004008,8425249,0,1,
gnark,circuit,plonk,bn254,sha2,input/circuit/sha2/input_10.json,setup,1667786,1024,32,9184841032,8518831,0,1,
