framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,,,,31916032,1,,145200
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,32239616,182,74236,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,31707136,4,,1210
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,witness,,,,32227328,1,,54395
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,32083968,219,103504,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,31870976,4,,1045
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,witness,,,,31862784,1,,23760
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,31985664,75,114384,110
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,31756288,5,,935
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,witness,,,,32247808,1,,11165
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,32038912,225,125392,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,31703040,6,,825
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,witness,,,,32219136,1,,5115
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,32342016,214,136656,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,31690752,8,,660
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,witness,,,,32284672,1,,2530
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,38567936,312,168612,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,31735808,9,,550
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,witness,,,,32264192,4,,1265
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,71229440,392,182180,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,31662080,10,,550
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,witness,,,,31862784,8,,660
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,141340672,532,195876,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,31842304,11,,495
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,witness,,,,32129024,16,,330
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,263483392,1105,209828,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,31707136,13,,385
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,witness,,,,32002048,36,,165
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,559927296,2359,244472,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,31772672,14,,385
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,witness,,,,32329728,91,,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,1039187968,4941,260728,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,31698944,15,,330
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_21.json,witness,,,,32321536,181,,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_21.json,prove,,,,1637449728,10226,277112,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_21.json,verify,,,,31576064,16,,330
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_22.json,witness,,,,32063488,269,,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_22.json,prove,,,,3212152832,21026,293752,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_22.json,verify,,,,31735808,18,,275
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_23.json,witness,,,,32219136,546,,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_23.json,prove,,,,6474375168,43468,331084,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_23.json,verify,,,,31817728,20,,275
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_24.json,witness,,,,32186368,1076,,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_24.json,prove,,,,12859002880,87805,350028,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_24.json,verify,,,,31678464,21,,275
