framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,34017280,70,,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,33947648,17,192,330
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,33824768,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,34185216,127,,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,34037760,26,192,220
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,33882112,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,33746944,212,,30
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,34037760,44,192,165
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,33984512,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,34050048,396,,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,33992704,79,192,110
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,33742848,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,,,,40775680,749,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,33931264,132,192,55
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,33808384,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,,,,69824512,1432,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,57704448,262,192,20
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,34037760,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,setup,,,,136810496,2773,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,107831296,502,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,33931264,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,setup,,,,264290304,5492,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,181518336,932,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,57843712,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,setup,,,,523141120,10885,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,350130176,1747,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,112455680,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,setup,,,,1041350656,21707,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,538497024,3542,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,221450240,1,,2640
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,setup,,,,2077290496,43274,,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,1037582336,6900,192,10
bellman,circuit,bellman,bls12_381,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,439672832,1,,2640
