framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,setup,,,,61394944,1320,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,prove,,,,43991040,158,192,55
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_5.json,verify,,,,34004992,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,setup,,,,95596544,2365,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,prove,,,,65318912,276,192,20
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_6.json,verify,,,,33898496,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,setup,,,,159944704,4093,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,prove,,,,115253248,526,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_7.json,verify,,,,37568512,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,setup,,,,255012864,6223,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,prove,,,,143323136,544,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_8.json,verify,,,,52658176,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,setup,,,,467202048,11841,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,prove,,,,260313088,1039,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_9.json,verify,,,,96882688,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,setup,,,,891318272,23019,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,prove,,,,511139840,1965,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_10.json,verify,,,,185106432,2,,1870
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,setup,,,,1731452928,45415,,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,prove,,,,731955200,3828,192,10
bellman,circuit,bellman,bls12_381,sha256,input/circuit/sha256/input_11.json,verify,,,,361684992,2,,1870
