framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17560840,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17560840,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17560840,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17560840,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,2,17560840,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,31847688,40418,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36041992,40496,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36304136,40142,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36041992,39981,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36304136,40040,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36566280,40271,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36304136,40362,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36566280,40202,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36041992,40424,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,2,36041992,40835,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,17822984,1048,0,1,
gnark,circuit,groth16,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,2,17822984,1048,0,1,
