framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,63173896,178043,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,62649608,176768,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,62911752,176441,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,62649608,176356,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,63042824,183372,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,62911752,176493,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,67630344,177280,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,62911752,179535,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,58717448,181744,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,compile,44795,32,33,62911752,177042,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,119095576,707874,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,123289880,703433,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,122765592,702655,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,118047000,704811,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,122831128,701795,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,123289880,702988,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,119882008,706634,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,119161112,702210,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,119554328,703280,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,setup,44795,32,33,123289880,704425,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,61928712,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,62911752,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,62649608,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,58586376,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,58651912,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,62911752,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,58389768,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,62649608,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,58324232,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,witness,44795,32,33,63173896,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,143999256,52656,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,139346200,58271,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,145113368,56468,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,152125720,52980,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,144326936,52579,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,153174296,54305,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,144851224,51564,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,144982296,51685,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,148455704,52322,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,prove,44795,32,33,149242136,51978,384,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,149504280,833,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,152387864,1044,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,145047832,1050,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,148717848,805,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,149373208,782,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,148455704,825,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,149504280,793,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,153501976,837,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,148259096,848,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_5.json,verify,44795,32,33,140263704,779,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,93798680,354268,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,94060824,356425,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,93798680,354222,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,90390808,355981,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,95109400,350412,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,94847256,353086,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,89866520,348961,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,90128664,356697,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,90390808,353121,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,compile,90235,64,33,94585112,361153,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,204770600,1389883,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,204770600,1396187,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,209227048,1388301,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,209227048,1386892,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,209751336,1385471,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,208964904,1378992,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,205032744,1385793,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,204770600,1388670,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,205032744,1388395,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,setup,90235,64,33,212897064,1388929,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,103039256,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,94060824,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,94847256,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,93798680,1048,0,1,
gnark,circuit,groth16,bn254,sha256,input/circuit/sha256/input_6.json,witness,90235,64,33,94060824,1048,0,1,
