framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17560840,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17560840,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17822984,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17822984,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17560840,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17822984,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17822984,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17560840,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17560840,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,compile,1025,1,1,17822984,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41284872,18006,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41284872,17390,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41022728,17076,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41547016,17471,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,40498440,17708,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41284872,17434,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41022728,17372,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41284872,17718,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,41088264,17200,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,1025,1,1,40498440,17165,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35517704,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35517704,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35255560,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35779848,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35779848,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35779848,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,36304136,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35779848,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35517704,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,1025,1,1,35517704,1048,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,41547016,14642,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,40760584,14693,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,42595592,14643,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,42071304,14612,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,41547016,14688,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,41350408,14892,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,42071304,14833,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,42071304,14914,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,42071304,14500,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,1025,1,1,42071304,14893,880,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,41809160,1735,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,42071304,1730,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,42071304,1767,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,40498440,1740,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,41547016,1740,0,1,
gnark,circuit,plonk,bn254,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,1025,1,1,42071304,1749,0,1,
