framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count,ramReal
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54654216,94034,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54129928,93142,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,58848520,92535,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54392072,95519,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,55178504,94141,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,59634952,95345,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54916360,95496,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,58324232,94642,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,59110664,94999,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,compile,79027,32,32,54129928,95158,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416051544,644850,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416051544,670756,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416575832,673923,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416575832,644465,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416575832,647897,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416051544,647878,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,415527256,688142,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416837976,652571,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,416313688,646994,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,setup,79027,32,32,415527256,644995,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,103498008,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,98517272,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,99303704,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,97992984,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,103498008,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,99565848,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,103760152,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,99041560,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,102973720,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,witness,79027,32,32,103498008,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,635806104,584337,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,635806104,563368,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,630478216,569068,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,635806104,576706,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,640524696,582548,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,639213976,578046,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,626808200,575658,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,639476120,570926,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,661496216,583701,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,prove,79027,32,32,644456856,577382,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,643932568,1934,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,631002504,1952,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,630740360,1954,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,635543960,1932,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,636330392,1935,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,635806104,1896,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,648126872,1927,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,635281816,1968,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,635019672,1922,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_5.json,verify,79027,32,32,635019672,1930,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,97927448,189432,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,85606680,183400,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,89800984,199757,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,90325272,190049,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,98976024,193848,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,85344536,190940,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,92946712,195086,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,97927448,190513,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,90063128,196019,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,compile,158244,64,32,89538840,193416,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,792148408,1324820,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,795818424,1305954,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,791099832,1310836,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,792410552,1323268,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,796604856,1321269,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,792148408,1321973,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,791886264,1321163,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,796342712,1316910,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,797129144,1271921,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,setup,158244,64,32,795818424,1308952,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,175344936,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,158305576,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,175082792,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,170888488,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,171937064,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,170888488,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,171412776,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,175869224,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,162499880,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,witness,158244,64,32,174558504,1048,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1245119000,1120416,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1282952744,1113195,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1257524776,1106270,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1249398312,1114313,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1299992104,1074297,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1292127784,1105911,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1250709032,1133256,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1254837800,1107754,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1331534392,1102936,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,prove,158244,64,32,1300254248,1093704,880,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1254116904,1970,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1245381144,1983,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1253592616,2017,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1300516392,1953,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1253592616,1992,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1291603496,1939,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1263291944,1985,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1254903336,1963,0,1,
gnark,circuit,plonk,bn254,sha256,input/circuit/sha256/input_6.json,verify,158244,64,32,1292652072,1917,0,1,
