framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,33488896,114,,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,33423360,117,992,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,33341440,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,33341440,206,,30
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,33480704,181,992,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,33255424,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,33271808,387,,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,33341440,307,992,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,33366016,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,39448576,745,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,51859456,546,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,33280000,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,,,,75186176,1452,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,99340288,983,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,33259520,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,,,,149372928,2855,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,194850816,1816,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,33243136,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,setup,,,,295170048,5650,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,385904640,3447,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,33374208,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,setup,,,,585703424,11281,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,776118272,6591,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,45789184,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,setup,,,,1227735040,22545,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,1531699200,12935,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,88432640,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,setup,,,,2384072704,45337,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,2975604736,26154,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,173477888,4,,1155
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,setup,,,,4656631808,91216,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,5924339712,51756,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,343199744,4,,1155
