framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_5.json,setup,,,,1352302592,8806,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_5.json,prove,,,,1614852096,7188,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_5.json,verify,,,,64385024,5,,935
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_6.json,setup,,,,1352331264,8811,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_6.json,prove,,,,1615015936,7202,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_6.json,verify,,,,64425984,5,,935
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_7.json,setup,,,,1360695296,8793,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_7.json,prove,,,,1615020032,7277,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_7.json,verify,,,,64413696,5,,935
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_8.json,setup,,,,1358659584,8762,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_8.json,prove,,,,1615007744,7315,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_8.json,verify,,,,64598016,5,,935
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_9.json,setup,,,,1362837504,8816,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_9.json,prove,,,,1614974976,7219,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_9.json,verify,,,,64434176,5,,935
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_10.json,setup,,,,1364774912,8847,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_10.json,prove,,,,1614921728,7375,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_10.json,verify,,,,64528384,5,,935
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_11.json,setup,,,,2866192384,17801,,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_11.json,prove,,,,3240931328,14397,2816,10
halo2_pse,circuit,halo2,bn256,sha256,input/circuit/sha256/input_11.json,verify,,,,124354560,5,,935
