framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,witness,,,,411254784,1,,40205
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,327757824,144,74236,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,31907840,3,,1485
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,witness,,,,32628736,1,,30580
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,32542720,165,103504,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,32116736,3,,1265
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,witness,,,,32608256,1,,19415
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,32727040,52,114384,110
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,32202752,4,,1100
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,witness,,,,32288768,1,,10010
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,32473088,114,125392,55
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,32038912,5,,990
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,witness,,,,32546816,1,,4840
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,32677888,194,136656,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,31977472,6,,770
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,witness,,,,32542720,1,,3080
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,33898496,232,168612,30
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,32047104,7,,715
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,witness,,,,32542720,3,,1540
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,65515520,315,182180,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,32124928,8,,605
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,witness,,,,32780288,6,,825
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,139624448,448,195876,20
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,32174080,9,,550
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,witness,,,,32571392,12,,440
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,264249344,949,209828,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,32194560,10,,495
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,witness,,,,32522240,30,,220
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,523788288,1892,244472,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,32079872,11,,440
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,witness,,,,32587776,80,,110
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,987496448,3948,260728,10
starky,circuit,starky,goldilocks,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,32247808,12,,440
